Sl. No.,India/State/UT,Total Schools,Number of School having - Library/Book Bank/Reading Corner,Number of School having - Playground,Number of School having - Digital Library,Number of School having - Kitchen Garden,Number of School having - Girls' Toilet,Number of School having - Functional Girls' Toilet,Number of School having - Boys' Toilet,Number of School having - Functional Boys' Toilet,Number of School having - Electricity,Number of School having - Functional Electricity,Number of School having - Solar Panel,Number of School having - Computer facility,Number of School having - Functional Computer facility for pedagogical purposes,Number of School having - Internet Facility,Number of School having - Drinking Water,Number of School having - Functional Drinking Water,Number of School having - Hand wash facility,Number of School having - Rainwater Harvesting System,Number of School having - Conducting Medical Checkup of Students in Last Academic Year,Number of School having - Ramp,Number of School having - Ramp and Handrails,Number of School having - Schools with CWSN Toilet Facilities
India,India,1466109,1294307,1202097,107886,515323,1411618,1356283,1373880,1308784,1344828,1312345,152352,700023,636425,728042,1442621,1404721,1379302,410435,1089686,1135895,748152,475765
1,Andaman and Nicobar Islands,414,412,402,8,351,414,414,413,410,383,378,15,284,277,209,414,414,414,101,384,255,148,112
2,Andhra Pradesh,61680,61678,61015,8079,52049,60745,60636,53162,52216,61509,61463,5896,57855,56522,61422,61676,61646,61671,58787,61655,59246,39605,13585
3,Arunachal Pradesh,3543,1557,2435,32,793,3218,2448,3252,2410,2426,1980,347,1292,1161,935,2953,2468,1703,164,1487,938,686,365
4,Assam,58876,52520,47458,300,33959,53517,50701,52295,48182,50268,49796,3594,10481,9051,9415,56071,54727,53540,3051,38521,44212,39308,11534
5,Bihar,91447,54535,39735,1061,17413,86904,85225,85502,83216,76731,75083,9193,15411,14860,15381,87575,85402,73217,11827,23914,45294,17740,14141
6,Chandigarh,230,226,225,24,181,229,229,227,227,230,230,167,230,230,228,230,230,230,126,142,207,127,176
7,Chhattisgarh,56333,55318,44450,896,30071,54336,52589,52786,49664,53878,51727,3924,36778,21183,34356,56078,55146,55339,22003,49431,45665,32877,37409
8,Dadra and Nagar Haveli and Daman and Diu,459,459,457,5,365,456,456,453,453,459,459,52,437,436,400,459,459,459,360,438,452,442,422
9,Delhi,5488,5463,5285,283,2278,4637,4637,4709,4709,5488,5488,1639,5463,5449,5488,5488,5488,5487,4937,2831,5360,5360,5459
10,Goa,1504,1503,1369,31,1053,1492,1492,1492,1492,1504,1504,53,817,799,1428,1504,1504,1504,57,795,929,840,115
11,Gujarat,53603,51684,47702,1197,25261,51856,51323,51121,50412,53570,53564,4215,52268,51576,50606,53566,53554,52360,12019,48812,43578,32398,19378
12,Haryana,23561,22952,21241,705,8599,22767,22527,22228,21988,23389,23174,4785,22475,22118,13461,23535,23498,23449,7979,17762,16943,10329,11228
13,Himachal Pradesh,18062,17309,16044,209,6531,17787,17646,17632,17478,17758,17588,1228,7340,6874,6432,18062,18062,17931,1732,7399,13961,11908,4298
